machineName:sensorName,operationalHigh,operationalLow
CPP 2:HD TNK LVL,72.0,45.0
CPP 2:HOPM HYD OIL TEMP,160.0,80.0
CPP 2:HUB SERVO FLW,1000.0,0.0
CPP 2:HUB SERVO OIL PRES,1000.0,100.0
CPP 2:LEVER POSN,1.0E10,-1.0E10
CPP 2:MAN PROP PITCH CMD INVAL,1.0,0.0
CPP 2:MAN PROP PITCH FDBK INVAL,1.0,0.0
CPP 2:MAN PROP PITCH LEVER,10.0,0.5
CPP 2:MOT DRIVEN PMP DISCH FLTR DP,160.0,0.0
CPP 2:MOT DRIVEN PMP DISCH FLTR DP HI,1.0,0.0
CPP 2:MOT DRIVEN PMP DISCH PRES,1000.0,440.0
CPP 2:MOT DRIVEN PMP IN AUTO,1.0,0.0
CPP 2:MOT DRIVEN PMP IN LOCAL,1.0,0.0
CPP 2:MOT DRIVEN PMP IN MAN,1.0,0.0
CPP 2:MOT DRIVEN PMP OFF,1.0,0.0
CPP 2:MOT DRIVEN PMP ON,1.0,0.0
CPP 2:MOT DRIVEN PMP SUCT PRES,7.0,0.0
CPP 2:MOT DRIVEN PMP SUCT STRNR DP,4.0,0.0
CPP 2:MOT DRIVEN PMP SUCT STRNR DP HI,1.0,0.0
CPP 2:OIL FLW HI,1.0,0.0
CPP 2:OIL FLW LOW,1.0,0.0
CPP 2:ORDERED PROP PITCH DSPLY,154.7,-79.6
CPP 2:PMP UNAVAIL,1.0,0.0
CPP 2:PROG CTRL LEVER POSN IBS,3890.0,204.0
CPP 2:PROP ACTUAL PITCH,154.7,-79.6
CPP 2:PROP ACTUAL PITCH FAILR,1.0,0.0
CPP 2:PROP ACTUAL PITCH OOR,1.0,0.0
CPP 2:PROP PITCH CMD,154.7,-79.6
CPP 2:RTN OIL BACK PRES,35.0,14.0
CPP 2:SUMP LVL,1168.0,801.0
CPP 2:SUMP LVL HI,1.0,0.0
CPP 2:SUMP LVL LOW,1.0,0.0
CPP 2:SUMP TEMP,500.0,-40.0
CPP 2:SUMP TEMP HI,1.0,0.0
CPP 2:SUMP TEMP LOW,1.0,0.0
CPP FCS:CPP 1 HD TNK (2-207-1-F) % FULL,100.0,0.0
CPP FCS:CPP 1 HD TNK (2-207-1-F) LVL,72.0,0.0
CPP FCS:CPP 1 SUMP (4-202-1-F) % FULL,100.0,0.0
CPP FCS:CPP 1 SUMP (4-202-1-F) LVL,1198.0,0.0
CPP FCS:CPP 1 SUMP (4-202-1-F) TEMP HI,1.0,0.0
CPP FCS:CPP 1 SUMP (4-202-1-F) TEMP LOW,1.0,0.0
CPP FCS:CPP 2 HD TNK (2-256-2-F) % FULL,100.0,0.0
CPP FCS:CPP 2 HD TNK (2-256-2-F) LVL,72.0,0.0
CPP FCS:CPP 2 SUMP (4-254-2-F) % FULL,100.0,0.0
CPP FCS:CPP 2 SUMP (4-254-2-F) LVL,1283.0,0.0
CPP FCS:CPP 2 SUMP (4-254-2-F) LVL HI,1.0,0.0
CPP FCS:CPP 2 SUMP (4-254-2-F) LVL LOW,1.0,0.0
CPPs:ORDERED PITCH VALUE,169.0,-81.0
CPPs:ORDERED SHAFT SPD VALUE,1.0E10,-1.0E10
CPPs:PRI SOURCE SHIP SPD,40.0,0.0
CPPs:SHIPS SPD SOURCE NAVSSI,1.0,0.0
CPPs:SHIPS SPD SOURCE WSN8,1.0,0.0
CTM:1S TEMP INDCTN DEVC OVRTEMP,1.0,0.0
CTM:1SF TEMP INDCTN DEVC OVRTEMP,1.0,0.0
CTM:2S TEMP INDCTN DEVC OVRTEMP,1.0,0.0
CTM:2SF TEMP INDCTN DEVC OVRTEMP,1.0,0.0
CTM:3S TEMP INDCTN DEVC OVRTEMP,1.0,0.0
CTM:CTM/TEMP INDCTN DEVC SYS ONLINE FAILD,1.0,0.0
